questionnaire_id,questionnaire_title,response_id,submitted_at_iso,rater_id,rater_username,book_id,book_title,book_url,question_id,question_scope,question_order,question_text,page_number,likert
13,Ed Sci Exp 3 Teacher,285,2025-09-16T08:09:41.664321+00:00,4,Branislav,303,Wohnungssuche in Burghausen,/accounts/public_content/303/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,3,5
13,Ed Sci Exp 3 Teacher,285,2025-09-16T08:09:41.664321+00:00,4,Branislav,303,Wohnungssuche in Burghausen,/accounts/public_content/303/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,4,5
13,Ed Sci Exp 3 Teacher,285,2025-09-16T08:09:41.664321+00:00,4,Branislav,303,Wohnungssuche in Burghausen,/accounts/public_content/303/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,5,5
13,Ed Sci Exp 3 Teacher,285,2025-09-16T08:09:41.664321+00:00,4,Branislav,303,Wohnungssuche in Burghausen,/accounts/public_content/303/,154,PAGE,3,How culturally appropriate is the image?,1,5
13,Ed Sci Exp 3 Teacher,285,2025-09-16T08:09:41.664321+00:00,4,Branislav,303,Wohnungssuche in Burghausen,/accounts/public_content/303/,154,PAGE,3,How culturally appropriate is the image?,2,5
13,Ed Sci Exp 3 Teacher,285,2025-09-16T08:09:41.664321+00:00,4,Branislav,303,Wohnungssuche in Burghausen,/accounts/public_content/303/,154,PAGE,3,How culturally appropriate is the image?,3,5
13,Ed Sci Exp 3 Teacher,285,2025-09-16T08:09:41.664321+00:00,4,Branislav,303,Wohnungssuche in Burghausen,/accounts/public_content/303/,154,PAGE,3,How culturally appropriate is the image?,4,5
13,Ed Sci Exp 3 Teacher,285,2025-09-16T08:09:41.664321+00:00,4,Branislav,303,Wohnungssuche in Burghausen,/accounts/public_content/303/,154,PAGE,3,How culturally appropriate is the image?,5,5
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,190,BOOK,1,How well do the images correspond to the text?,,4
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,191,BOOK,2,How accurate are the glosses?,,4
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,192,BOOK,3,How accurate are the translations?,,4
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,152,PAGE,1,How relevant is the text for an Australian student who will soon move to Germany?,1,3
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,152,PAGE,1,How relevant is the text for an Australian student who will soon move to Germany?,2,2
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,152,PAGE,1,How relevant is the text for an Australian student who will soon move to Germany?,3,2
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,152,PAGE,1,How relevant is the text for an Australian student who will soon move to Germany?,4,2
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,152,PAGE,1,How relevant is the text for an Australian student who will soon move to Germany?,5,2
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,152,PAGE,1,How relevant is the text for an Australian student who will soon move to Germany?,6,3
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,152,PAGE,1,How relevant is the text for an Australian student who will soon move to Germany?,7,3
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,152,PAGE,1,How relevant is the text for an Australian student who will soon move to Germany?,8,3
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,1,3
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,2,2
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,3,2
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,4,2
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,5,2
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,6,3
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,7,3
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,153,PAGE,2,How appropriate are the vocabulary and grammar for an intermediate German student?,8,3
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,154,PAGE,3,How culturally appropriate is the image?,1,5
